Day,Depth
3.443579767,39.77272727
3.962386511,37.5
4.584954604,35.22727273
5.103761349,35.22727273
5.622568093,37.5
6.037613489,42.04545455
6.556420233,48.86363636
7.075226978,50
7.697795071,51.13636364
8.112840467,51.13636364
8.73540856,53.40909091
9.357976654,55.68181818
9.876783398,57.95454545
10.29182879,60.22727273
10.60311284,56.81818182
10.91439689,53.40909091
11.22568093,51.13636364
11.64072633,51.13636364
12.05577173,51.13636364
12.36705577,54.54545455
12.78210117,56.81818182
13.09338521,60.22727273
13.71595331,65.90909091
14.1309987,70.45454545
14.5460441,76.13636364
15.06485084,80.68181818
15.79118029,81.81818182
16.41374838,82.95454545
16.72503243,82.95454545
17.14007782,86.36363636
17.55512322,89.77272727
17.76264591,89.77272727
18.28145266,87.5
18.69649805,85.22727273
19.31906615,84.09090909
19.73411154,84.09090909
20.04539559,87.5
20.46044099,92.04545455
20.77172503,97.72727273
21.08300908,103.4090909
21.39429313,107.9545455
21.80933852,107.9545455
22.22438392,105.6818182
22.84695201,102.2727273
23.15823606,101.1363636
23.6770428,100
24.29961089,98.86363636
24.61089494,97.72727273
25.12970169,95.45454545
25.54474708,90.90909091
25.95979248,85.22727273
26.27107652,84.09090909
26.68612192,85.22727273
27.20492866,86.36363636
27.72373541,87.5
28.5538262,89.77272727
29.38391699,92.04545455
30.31776913,93.18181818
31.14785992,92.04545455
31.77042802,87.5
32.39299611,93.18181818
32.8080415,96.59090909
33.2230869,96.59090909
33.6381323,92.04545455
34.05317769,96.59090909
34.57198444,101.1363636
34.98702983,106.8181818
35.29831388,111.3636364
35.81712062,117.0454545
36.12840467,121.5909091
36.54345006,125
36.95849546,122.7272727
37.4773022,120.4545455
37.99610895,122.7272727
38.61867704,125
39.24124514,123.8636364
39.96757458,122.7272727
40.48638132,121.5909091
41.00518807,118.1818182
41.31647211,115.9090909
41.83527886,114.7727273
42.3540856,114.7727273
42.769131,120.4545455
43.18417639,126.1363636
43.80674449,126.1363636
44.22178988,123.8636364
44.63683528,120.4545455
45.05188067,117.0454545
45.67444877,121.5909091
45.98573281,125
46.29701686,131.8181818
46.50453956,137.5
46.81582361,142.0454545
47.12710765,142.0454545
47.54215305,139.7727273
47.85343709,137.5
48.37224384,139.7727273
48.99481193,144.3181818
49.61738003,146.5909091
50.03242542,146.5909091
50.44747082,144.3181818
50.86251621,142.0454545
51.38132296,136.3636364
51.692607,132.9545455
52.1076524,130.6818182
52.5226978,128.4090909
53.35278859,128.4090909
53.87159533,135.2272727
54.18287938,139.7727273
54.49416342,146.5909091
54.80544747,153.4090909
55.11673152,160.2272727
55.42801556,165.9090909
55.84306096,171.5909091
56.25810636,175
56.5693904,180.6818182
56.88067445,187.5
57.08819715,192.0454545
57.39948119,196.5909091
57.71076524,202.2727273
58.02204929,206.8181818
58.33333333,205.6818182
58.54085603,201.1363636
58.95590143,194.3181818
59.37094682,187.5
59.68223087,180.6818182
59.88975357,176.1363636
60.40856031,175
61.0311284,173.8636364
61.6536965,171.5909091
62.06874189,167.0454545
62.48378729,162.5
62.79507134,157.9545455
63.31387808,157.9545455
63.83268482,159.0909091
64.14396887,163.6363636
64.45525292,167.0454545
64.76653696,169.3181818
65.18158236,167.0454545
65.70038911,163.6363636
66.1154345,165.9090909
66.5304799,170.4545455
67.04928664,175
67.56809339,179.5454545
67.77561608,185.2272727
67.98313878,192.0454545
68.19066148,198.8636364
68.39818418,203.4090909
68.60570687,210.2272727
69.12451362,210.2272727
69.43579767,210.2272727
69.64332036,213.6363636
69.74708171,218.1818182
69.95460441,225
70.16212711,230.6818182
70.36964981,237.5
70.47341115,240.9090909
70.9922179,237.5
71.40726329,234.0909091
71.82230869,237.5
72.02983139,242.0454545
72.44487678,243.1818182
72.54863813,236.3636364
72.75616083,232.9545455
73.06744488,225
73.17120623,220.4545455
73.58625162,217.0454545
74.10505837,212.5
74.31258106,205.6818182
74.52010376,198.8636364
74.72762646,194.3181818
74.83138781,188.6363636
75.03891051,182.9545455
75.2464332,180.6818182
75.55771725,182.9545455
75.97276265,185.2272727
76.38780804,188.6363636
76.80285344,194.3181818
77.42542153,197.7272727
78.04798962,200
78.67055772,203.4090909
79.29312581,204.5454545
80.01945525,205.6818182
80.538262,201.1363636
80.95330739,196.5909091
81.16083009,188.6363636
81.36835279,184.0909091
81.47211414,178.4090909
81.67963684,172.7272727
82.19844358,175
82.61348898,181.8181818
82.71725032,189.7727273
82.92477302,198.8636364
83.02853437,207.9545455
83.23605707,217.0454545
83.33981842,223.8636364
83.54734112,231.8181818
83.54734112,242.0454545
83.65110246,253.4090909
83.85862516,262.5
83.96238651,269.3181818
84.16990921,280.6818182
